"","CTRY","YEAR","COW","PHYSINT","ASSN","DOMMOV","WORKER","polity","l_pop","urban","gdp","gdpgrth","event_lag1","event","FORMOV","dummyevent","Violence","tax","speech","protesthistory","laborenvir","anocracy","ViolenceLag","milcapita"
"1","Afghanistan",1999,700,0,0,1,0,-7,NA,20.98,6.757565,NA,0,0,0,0,8,NA,1,0,2,0,NA,0.0182456780550107
"2","Afghanistan",2000,700,0,0,0,0,-7,NA,21.299999,6.1698289,NA,0,0,1,0,8,NA,0,0,0,0,8,0.0176056338028169
"3","Albania",1994,339,7,1,2,2,5,14.97013,38.560001,7.7478232,9.4000034,0,0,2,0,1,NA,1,1,6,1,NA,0.018325345362278
"4","Albania",1995,339,4,1,2,2,5,14.95752,39.099998,7.919014,8.9000015,0,0,2,0,4,NA,1,0,6,1,1,0.0144084233859795
"5","Albania",1996,339,4,1,2,2,0,14.94811,39.639999,8.012742,9.1000023,0,0,2,0,4,NA,1,0,6,1,4,0.0142465753424658
"6","Albania",1997,339,4,1,2,2,5,14.94131,40.18,7.87637,-10.2,0,0,2,0,4,NA,1,0,6,1,4,0.0139372822299652
"7","Albania",1998,339,5,2,2,1,5,14.93709,40.720001,7.988945,12.7,0,0,2,0,3,NA,1,0,6,1,4,0.00641231163834562
"8","Albania",1999,339,5,2,1,2,5,14.93497,41.259998,8.1617785,10.1,0,0,2,0,3,NA,1,0,6,1,3,0.00578220366206232
"9","Albania",2000,339,3,1,2,1,5,14.93451,41.799999,8.2419147,7.2999921,0,0,2,0,5,NA,1,0,5,1,3,0.017346610986187
"10","Albania",2001,339,6,2,1,2,5,14.936,42.52,8.3592024,7.0000038,0,0,2,0,2,NA,1,1,6,1,5,0.00878334417696812
"11","Algeria",1994,615,2,1,1,1,-7,17.13826,55.220001,8.3096199,-0.89999998,0,0,1,0,6,NA,0,0,3,0,NA,0.00458248472505092
"12","Algeria",1995,615,0,0,1,0,-3,17.157339,56,8.346324,3.8,0,0,1,0,8,NA,0,0,1,1,6,0.00427655024946543
"13","Algeria",1996,615,3,1,1,1,-3,17.17437,56.759998,8.450223,4.0999999,0,0,1,0,5,NA,1,0,4,1,8,0.00416579150038507
"14","Algeria",1997,615,0,1,1,1,-3,17.189671,57.52,8.4474764,1.1,0,0,1,0,8,NA,1,0,4,1,5,0.00426850258175559
"15","Algeria",1998,615,4,0,1,1,-3,17.203871,58.279999,8.3867435,5.0999999,0,0,1,0,4,NA,0,0,2,1,8,0.00398922908148
"16","Algeria",1999,615,0,0,1,1,-3,17.2178,59.040001,8.4605045,3.2,0,0,1,0,8,NA,1,0,3,1,4,0.00389939559368298
"17","Algeria",2000,615,4,0,2,2,-3,17.232031,59.799999,8.6574984,2.2,0,0,1,0,4,NA,1,0,5,1,8,0.00394013536271488
"18","Algeria",2001,615,4,0,2,1,-3,17.246731,60.5,8.6186132,2.5999999,0,0,1,0,4,NA,1,0,4,1,4,0.00401658460741125
"19","Algeria",2002,615,2,0,2,0,-3,17.261761,61.200001,8.6375275,4.6999998,0,0,1,0,6,NA,1,0,3,1,4,0.00417523715961072
"20","Algeria",2003,615,1,0,1,0,-3,17.27704,61.900002,8.7014313,6.9000001,0,0,1,0,7,NA,0,0,1,1,6,0.00384813501802866
"21","Algeria",2004,615,5,0,2,0,2,17.29236,62.599998,NA,5.1999998,0,0,1,0,3,NA,0,0,2,1,7,0.00394489106721258
"22","Angola",1994,540,2,0,1,0,-1,16.29509,42.779999,NA,3.5,0,0,0,0,6,NA,0,0,1,1,NA,0.0114656984521307
"23","Angola",1995,540,1,0,0,0,-2,16.32346,44.200001,NA,10.4,0,0,0,0,7,NA,0,0,0,1,6,0.00924556213017752
"24","Angola",1996,540,0,0,1,0,-2,16.349001,45.360001,NA,11.2,0,0,0,0,8,NA,0,0,1,1,7,0.00849351810460438
"25","Angola",1997,540,0,0,1,0,-3,16.372471,46.52,NA,7.9000001,0,0,1,0,8,NA,0,0,1,1,8,0.00821159996542484
"26","Angola",1998,540,1,0,0,1,-3,16.395041,47.68,NA,6.8047619,0,0,0,0,7,NA,0,0,1,1,8,0.00826993053258353
"27","Angola",1999,540,2,0,0,0,-3,16.418261,48.84,NA,3.2398,0,0,1,0,6,NA,0,0,0,1,7,0.00801346261719689
"28","Angola",2000,540,1,1,0,1,-3,16.443119,50,7.5883121,3.0120759,0,0,2,0,7,NA,0,0,2,1,6,0.00838639540301289
"29","Angola",2001,540,1,0,0,0,-3,16.469801,50.66,NA,3.1419661,0,0,1,0,7,NA,0,0,0,1,7,0.0100908173562059
"30","Angola",2002,540,2,1,0,0,-2,16.49782,51.32,NA,14.49055,0,0,2,0,6,NA,0,0,1,1,7,0.00671727010143078
"31","Angola",2003,540,3,1,0,0,-2,16.52668,51.98,NA,3.3082781,0,0,1,0,5,NA,1,0,2,1,6,0.00778159652422022
"32","Angola",2004,540,3,1,0,0,-2,16.55571,52.639999,NA,11.18281,0,0,1,0,5,NA,1,0,2,1,5,0.00713525693183952
"33","Armenia",2002,371,6,2,1,2,5,14.93063,64.699997,8.4367867,13.1863,0,0,1,0,2,NA,1,0,6,1,NA,0.0144404332129964
"34","Armenia",2003,371,6,2,1,0,5,14.92644,64.5,8.5643358,14,0,0,1,0,2,NA,1,0,4,1,2,0.0148221343873518
"35","Armenia",2004,371,4,1,2,1,5,14.92278,64.300003,NA,10.5,0,0,1,0,4,NA,1,0,5,1,2,0.0155320555188367
"36","Azerbaijan",2001,373,5,1,1,1,-7,15.90875,51.02,8.2625313,9.8999996,0,0,1,0,3,NA,1,0,4,0,NA,0.00887683392923191
"37","Azerbaijan",2002,373,4,1,1,0,-7,15.91621,51.139999,8.3112583,10.6,0,0,1,0,4,NA,1,0,3,0,3,0.00869565217391304
"38","Azerbaijan",2003,373,3,0,1,0,-7,15.92379,51.259998,8.3276119,11.2,0,0,1,0,5,NA,1,0,2,0,4,0.00788530465949821
"39","Azerbaijan",2004,373,3,1,1,0,-7,15.93254,51.380001,NA,10.2,0,0,1,0,5,NA,0,0,2,0,5,0.00779681039574719
"40","Bahrain",1994,692,6,0,2,0,-9,13.2455,90.900002,9.4644461,-0.25000101,0,0,1,0,2,NA,0,0,2,0,NA,0.0143626570915619
"41","Bahrain",1995,692,4,0,2,0,-9,13.27798,91.599998,9.5647755,3.929992,0,0,1,0,4,NA,0,0,2,0,2,0.013840830449827
"42","Bahrain",1996,692,3,0,2,0,-9,13.30968,92.199997,9.5636005,4.1100049,0,0,1,0,5,NA,1,0,3,0,4,0.015025041736227
"43","Bahrain",1997,692,5,0,2,0,-9,13.34042,92.800003,9.561512,3.092999,0,0,1,0,3,NA,1,0,3,0,5,0.0145161290322581
"44","Bahrain",1998,692,3,0,1,1,-9,13.36933,93.400002,9.4961805,4.7900019,0,0,1,0,5,NA,0,0,2,0,3,0.0151260504201681
"45","Bahrain",1999,692,5,0,2,0,-9,13.39538,94,9.6791868,4.3000011,0,0,1,0,3,NA,1,0,3,0,5,0.0148514851485149
"46","Bahrain",2000,692,3,0,2,1,-9,13.41803,94.599998,9.8337164,5.299994,0,0,1,0,5,NA,0,0,3,0,3,0.0178282009724473
"47","Bahrain",2001,692,6,0,2,0,-8,13.43704,94.980003,9.8357248,4.5999999,0,0,1,0,2,NA,1,0,3,0,5,0.0166414523449319
"48","Bahrain",2002,692,7,0,2,1,-7,13.45301,95.360001,9.824605,5.2600002,0,0,1,0,1,NA,1,0,4,0,2,0.0150068212824011
"49","Bahrain",2003,692,7,0,2,1,-7,13.46718,95.739998,9.9520988,7.1999998,0,0,2,0,1,NA,0,0,3,0,1,0.0142487046632124
"50","Bahrain",2004,692,6,1,2,1,-7,13.48118,96.120003,NA,5.4000001,0,0,1,0,2,NA,0,0,4,0,1,0.0133982947624848
"51","Belarus",2002,370,5,0,0,0,-7,16.110571,70.879997,9.4193115,5.0452671,0,0,1,0,3,0.413213842746401,0,0,0,0,NA,0.00811935451131635
"52","Belarus",2003,370,5,0,0,0,-7,16.10541,71.32,9.518281,7.0431929,0,0,1,0,3,0.442032883905013,0,0,0,0,3,0.00746116107931316
"53","Belarus",2004,370,3,0,0,0,-7,16.100389,71.760002,NA,11.44974,0,0,1,0,5,0.45862636047858,0,1,0,0,3,0.00751028806584362
"54","Burkina Faso",1994,439,6,2,0,1,-5,16.07346,14.84,6.6847372,1,0,0,2,0,2,NA,1,0,4,1,NA,0.000910102133683891
"55","Burkina Faso",1995,439,5,2,1,1,-5,16.101139,15.1,6.6989961,4.5999999,0,0,2,0,3,NA,1,0,5,1,2,0.000882352941176471
"56","Burkina Faso",1996,439,6,2,2,2,-5,16.128321,15.38,6.7077799,7.0999999,0,0,2,0,2,NA,1,0,7,1,3,0.000834879406307978
"57","Burkina Faso",1997,439,7,2,2,2,-4,16.155149,15.66,6.7398362,5.1999998,0,0,2,0,1,NA,1,0,7,1,2,0.000811761522503833
"58","Burkina Faso",1998,439,4,2,1,1,-4,16.182211,15.94,6.7823882,1,0,0,2,0,4,NA,1,0,5,1,1,0.000796107916850951
"59","Burkina Faso",1999,439,6,2,2,2,-4,16.21022,16.219999,6.8298559,6.6999998,0,0,2,0,2,NA,1,0,7,1,4,0.000774793388429752
"60","Burkina Faso",2000,439,4,1,2,1,-3,16.239571,16.5,6.8386278,1.6,0,0,2,0,4,NA,1,0,5,1,2,0.000586411996313982
"61","Burkina Faso",2001,439,4,1,2,2,0,16.27038,16.860001,6.9865351,5.9000001,0,0,2,0,4,NA,1,0,6,1,4,0.000860363073216898
"62","Burkina Faso",2002,439,4,1,2,1,0,16.302271,17.219999,7.0380268,4.4000001,0,0,2,0,4,NA,1,0,5,1,4,0.00081327260897853
"63","Burkina Faso",2003,439,5,2,1,1,0,16.334629,17.58,7.1228948,6.5,0,0,2,0,3,NA,1,0,5,1,4,0.000868946994233352
"64","Burkina Faso",2004,439,4,1,2,1,0,16.36665,17.940001,7.142386,4.6500001,0,0,2,0,4,NA,1,0,5,1,3,0.00084394660119687
"65","Burma",1994,775,3,0,0,0,-7,17.59458,25.860001,NA,7.4779582,0,0,0,0,5,NA,0,0,0,0,NA,0.00733117799735895
"66","Burma",1995,775,2,0,0,0,-7,17.610991,26.1,NA,6.948051,0,0,0,0,6,NA,0,0,0,0,5,0.0071387398572252
"67","Burma",1996,775,2,0,0,0,-7,17.62645,26.48,NA,6.4427152,0,0,0,0,6,NA,0,0,0,0,6,0.00701188972605723
"68","Burma",1997,775,1,0,0,0,-7,17.641041,26.860001,NA,5.6515832,0,0,0,0,7,NA,0,0,0,0,6,0.0069393560622387
"69","Burma",1998,775,1,0,0,0,-7,17.654869,27.24,NA,5.8662128,0,0,0,0,7,NA,0,0,0,0,7,0.00723644290626334
"70","Burma",1999,775,1,0,0,0,-7,17.668131,27.620001,NA,10.94513,0,0,0,0,7,NA,0,0,0,0,7,0.00765662797665283
"71","Burma",2000,775,0,0,0,0,-7,17.680941,28,NA,9.8484526,0,0,0,0,8,NA,0,0,0,0,7,0.0075420402972967
"72","Burma",2001,775,1,0,0,0,-7,17.69334,28.52,NA,11.29998,0,0,0,0,7,NA,0,0,0,0,8,0.0067268958504439
"73","Burma",2002,775,3,0,0,0,-7,17.70529,29.040001,NA,11.99997,0,0,0,0,5,NA,0,0,0,0,7,0.00901321532246605
"74","Burma",2003,775,0,0,0,0,-7,17.71674,29.559999,NA,13.80003,0,0,0,0,8,NA,0,0,0,0,5,0.00984327409887649
"75","Burma",2004,775,1,0,0,0,-8,17.72761,30.08,NA,2.999974,0,0,0,0,7,NA,0,0,0,0,8,0.00918295739348371
"76","Burundi",1994,516,NA,NA,NA,NA,0,15.62195,7.0999999,6.554266,-3.8299999,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.0028936170212766
"77","Burundi",1995,516,NA,NA,NA,NA,0,15.63343,7.3000002,6.6078601,-7.9200001,0,0,-77,0,NA,NA,NA,0,NA,1,NA,0.00367769976596456
"78","Burundi",1996,516,1,0,0,1,-5,15.64241,7.5599999,6.565784,-8,0,0,1,0,7,NA,1,0,2,1,NA,0.00410643889618922
"79","Burundi",1997,516,0,0,1,1,-5,15.64963,7.8200002,6.630105,-1.59,0,0,1,0,8,NA,0,0,2,1,7,0.00565062964158863
"80","Burundi",1998,516,0,0,1,1,-1,15.65738,8.0799999,6.5893078,4.75,0,0,1,0,8,NA,1,0,3,1,8,0.00542047390428992
"81","Burundi",1999,516,1,0,0,1,-1,15.66857,8.3400002,6.677537,-1.01,0,0,1,0,7,NA,0,0,1,1,8,0.00609291698400609
"82","Burundi",2000,516,1,0,0,1,-1,15.68517,8.6000004,6.549428,-0.85686398,0,0,2,0,7,NA,0,0,1,1,7,0.00597460791635549
"83","Burundi",2001,516,1,0,1,1,0,15.70762,8.8800001,6.578073,2.0558071,0,0,1,0,7,NA,0,0,2,1,7,0.00671827077552213
"84","Cambodia",2001,811,5,1,2,0,2,16.381001,17.459999,6.32515,7.6627059,1,0,2,0,3,NA,2,1,5,1,NA,0.0108342361863489
"85","Cambodia",2002,811,5,1,2,0,2,16.4009,18.02,6.381763,6.1953802,0,0,2,0,3,NA,1,1,4,1,3,0.00983554961051224
"86","Cambodia",2003,811,4,0,1,0,2,16.420521,18.58,6.4235959,8.5906162,0,0,2,0,4,NA,1,1,2,1,3,0.00966445028606773
"87","Cambodia",2004,811,4,0,2,0,2,16.440041,19.139999,NA,9.9577856,0,1,2,1,4,NA,0,0,2,1,4,0.00950642634420868
"88","Cameroon",1994,471,2,0,1,1,-4,16.37867,44.380001,7.5265608,-2.500001,0,0,1,0,6,NA,1,1,3,1,NA,0.000935089223096704
"89","Cameroon",1995,471,4,0,0,0,-4,16.40345,45.299999,7.5717669,3.2999959,0,0,1,0,4,NA,0,0,0,1,6,0.00165700082850041
"90","Cameroon",1996,471,4,0,0,0,-4,16.427231,46.240002,7.609036,5.0000038,0,0,1,0,4,NA,1,0,1,1,4,0.00110619469026549
"91","Cameroon",1997,471,3,1,1,0,-4,16.450081,47.18,7.655467,5.099998,0,0,1,0,5,NA,1,0,3,1,4,0.000932768888569994
"92","Cameroon",1998,471,1,1,0,1,-4,16.472059,48.119999,7.6757789,5.0392532,0,0,1,0,7,NA,0,0,2,1,5,0.00104858441104509
"93","Cameroon",1999,471,2,1,0,0,-4,16.493311,49.060001,7.662262,4.3938112,0,0,1,0,6,NA,1,0,2,1,7,0.00102089430340979
"94","Cameroon",2000,471,1,1,0,1,-4,16.513941,50,7.8126731,4.199996,0,0,1,0,7,NA,1,0,3,1,6,0.000464037122969838
"95","Cameroon",2001,471,2,0,0,0,-4,16.53397,50.919998,7.8669829,4.5142708,0,0,1,0,6,NA,1,1,1,1,7,0.0013985124912593
"96","Cameroon",2002,471,2,1,0,0,-4,16.553419,51.84,7.9114509,4.0090451,0,0,1,0,6,NA,1,0,2,1,6,0.00137051602907877
"97","Cameroon",2003,471,4,1,0,0,-4,16.57226,52.759998,7.9665532,4.030993,0,0,1,0,4,NA,0,0,1,1,6,0.00133542356151658
"98","Cameroon",2004,471,4,0,0,0,-4,16.59046,53.68,NA,3.701854,0,0,1,0,4,NA,0,0,0,1,4,0.0013012729844413
"99","Central African Republic",1994,482,5,1,1,0,5,15.01889,37.119999,6.6751928,4.9000001,0,0,1,0,3,NA,1,0,3,1,NA,0.00124882922260381
"100","Central African Republic",1995,482,5,1,0,0,5,15.04351,37.200001,6.731576,7.1999998,0,0,1,0,3,NA,1,0,2,1,3,0.00122212037885732
"101","Central African Republic",1996,482,5,1,0,0,5,15.06667,37.279999,6.7067742,-4,0,0,1,0,3,NA,0,0,1,1,3,0.00149521531100478
"102","Central African Republic",1997,482,6,1,0,0,5,15.08852,37.360001,6.7547188,5.3000002,0,0,1,0,2,NA,1,0,2,1,3,0.00154083204930663
"103","Central African Republic",1998,482,4,1,0,1,5,15.10889,37.439999,6.7950039,4.6999998,0,0,1,0,4,NA,1,0,3,1,2,0.00114777618364419
