"","X","ccode","isocode","ctry_name","year","gdp_grth","urban","l_pop","polity2","event","Africa","Asia","Europe","Latin_America","PHYSINT","ELECSD","LABENV","milex","milper","tpop","VIOLENCE","lagVIOLENCE","dummyevent","lagdummy","ProtestHistory","milexpc","lmilexpc"
"1",1,700,"AFG","Afghanistan",1979,NA,0.1522,16.53858,-7,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"2",2,700,"AFG","Afghanistan",1980,NA,0.157,16.537411,-7,0,0,1,0,0,NA,NA,NA,14.8220755774139,43,16063,NA,NA,0,0,NA,0.000922746409600569,-6.98815610703917
"3",3,700,"AFG","Afghanistan",1981,NA,0.1594,16.527121,-7,0,0,1,0,0,0,0,1,20.5527045769764,45,15862,8,NA,0,0,NA,0.00129571961776424,-6.64868904877558
"4",4,700,"AFG","Afghanistan",1982,NA,0.1618,16.509291,-7,0,0,1,0,0,0,0,0,21.0220592964178,55,15549,8,8,0,0,NA,0.00135198786394095,-6.60617927777669
"5",5,700,"AFG","Afghanistan",1983,NA,0.1642,16.487101,-7,0,0,1,0,0,0,0,0,19.5682282401002,46,15177,8,8,0,0,NA,0.00128933440338012,-6.65362916013701
"6",6,700,"AFG","Afghanistan",1984,NA,0.1666,16.465321,-7,0,0,1,0,0,0,1,0,14.1779397866883,46,14814,8,8,0,0,NA,0.000957063574098034,-6.95164073810328
"7",7,700,"AFG","Afghanistan",1985,NA,0.169,16.448259,-7,0,0,1,0,0,0,0,0,19.7368964804739,47,14519,8,8,0,0,NA,0.00135938401270569,-6.60072361367284
"8",8,700,"AFG","Afghanistan",1986,NA,0.1718,16.435989,-7,0,0,1,0,0,0,0,0,NA,47,14300,8,8,0,0,NA,NA,NA
"9",9,700,"AFG","Afghanistan",1987,NA,0.17459999,16.42914,-7,0,0,1,0,0,0,1,0,NA,50,14165,8,8,0,0,NA,NA,NA
"10",10,700,"AFG","Afghanistan",1988,NA,0.1774,16.433319,-7,0,0,1,0,0,0,0,0,NA,55,14162,8,8,0,0,NA,NA,NA
"11",11,700,"AFG","Afghanistan",1989,NA,0.1802,16.45503,-8,0,0,1,0,0,0,0,0,NA,55,14346,8,8,0,0,0,NA,NA
"12",12,700,"AFG","Afghanistan",1990,NA,0.18299999,NA,-8,0,0,1,0,0,0,0,0,29.1446387420361,58,14754,8,8,0,0,0,0.00197537201721811,-6.22699853521875
"13",13,700,"AFG","Afghanistan",1991,NA,0.1858,NA,-8,0,0,1,0,0,1,0,0,NA,45,15403,7,8,0,0,0,NA,NA
"14",14,700,"AFG","Afghanistan",1992,NA,0.18860001,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,16276,NA,7,0,0,0,NA,NA
"15",15,700,"AFG","Afghanistan",1993,NA,0.19139999,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,17322,NA,NA,0,0,0,NA,NA
"16",16,700,"AFG","Afghanistan",1994,NA,0.1942,NA,0,0,0,1,0,0,NA,NA,NA,NA,45,18470,NA,NA,0,0,0,NA,NA
"17",17,700,"AFG","Afghanistan",1995,NA,0.19700001,NA,0,0,0,1,0,0,NA,NA,NA,10.1724225624332,NA,19661,NA,NA,0,0,0,0.000517390903943505,-7.56671186868481
"18",18,700,"AFG","Afghanistan",1996,NA,0.2002,NA,-7,0,0,1,0,0,0,0,2,9.96025475266964,NA,20883,8,NA,0,0,0,0.000476955167009991,-7.6480880609901
"19",19,700,"AFG","Afghanistan",1997,NA,0.2034,NA,-7,0,0,1,0,0,0,0,2,9.44333996023857,NA,22132,8,8,0,0,0,0.000426682629687266,-7.75947007708905
"20",20,700,"AFG","Afghanistan",1998,NA,0.2066,NA,-7,0,0,1,0,0,0,0,0,11.9415566170273,NA,21354,8,8,0,0,0,0.00055921872328497,-7.48896988533593
"21",21,700,"AFG","Afghanistan",1999,NA,0.2098,NA,-7,0,0,1,0,0,0,0,2,11.4035487843817,400,21923,8,8,0,0,0,0.000520163699511093,-7.56136698917795
"22",22,700,"AFG","Afghanistan",2000,NA,0.21299999,NA,-7,0,0,1,0,0,0,0,0,11.0035211267606,400,22720,8,8,0,0,0,0.000484309908748264,-7.63278554882579
"23",23,700,"AFG","Afghanistan",2001,NA,0.21620001,NA,NA,0,0,1,0,0,0,0,0,11.0960144927536,NA,22080,8,8,0,0,0,0.000502536888258769,-7.5958415112552
