Variable Name,Column,Description,Source,Website for Source,Additional Notes,Years Updated,,,,
Population,D,Population Estimates,"Annual Estimates of the Population for the United States, Regions, States, and Puerto Rico.  U.S. Census Bureau - Population Estimates ",http://www.census.gov/popest/states/NST-ann-est.html,,"2007, 2008",,,,
Employment,E,Employment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,Measured in levels.,"2007, 2008",,,,
Unemployment ,F,Unemployment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,Measured in levels.,"2007, 2008",,,,
Unemployment rate,G,Unemployment Rate,"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt ,Measured as a percentage of labor force.,"2007, 2008",,,,
Food Insecurity,H,Food Insecurity Rates,"Household Food Security in the United States.  U.S. Department of Agriculture, Economic Research Service.",,"Year figures represent middle year of three-year average, 2008 data not available",2006,,,,
Gross State Product,I,Gross State Product,"State Economic Growth.  U.S. Department of Commerce, Bureau of Economic Analysis", http://www.bea.gov/regional/gsp/,Gross State Product now called Gross Domestic product.Figures measured in millions of dollars.,"2006, 2007, 2008",,,,
Number of low income uninsured children,J,Number of Low Income Uninsured Children ,"Number of Low Income Uninsured Children by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/lowinckid.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,2006,,,,
Percent Low Income Unisured Children,K,Percent of Low Income Uninsured Children ,"Number of Low Income Uninsured Children by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/lowinckid.html,Year figures represent middle year of three-year averages.  ,2006,,,,
Personal income,L,Personal Income (thousands of dollars),"State Annual Personal Income.  U.S. Department of Commerce, Bureau of Economic Analysis.",Use table SA1-3 Summary Personal Income at http://www.bea.gov/regional/spi/default.cfm?satable=SA35,"Totals aggregated by state, 2008 not yet available.",2007,,,,
Workers' compensation,M,Worker's Compensation (thousands of dollars).,"Personal Current Transfer Receipts.  U.S. Department of Commerce, Bureau of Economic Analysis - Regional Economic Accounts.",Use table SA35 at http://www.bea.gov/regional/spi/default.cfm?satable=SA35  ,2008 not yet available.,2007,,,,
AFDC Recipients,N,Total number of recipients of Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC/TANF).,"Total number of recipients of Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/data-reports/caseload,FY statistic reported,2007,,,,
AFDC Caseloads,O,Total number of families receiving Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC/TANF).,"Total number of families receiving Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/data-reports/caseload/caseload_recent.html,FY statistic reported,2007,,,,
Food Stamp Recipients,P,Food Stamp Program: Average Monthly Participation ,"Food Stamp Program: Average Monthly Participation by Number of Persons. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,Figures represent total number of persons receiving benefts.,2007,,,,
Food Stamp Caseloads,Q,Food Stamp Program: Average Monthly Participation .,"Food Stamp Program: Average Monthly Participation by Number of Households. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,,2007,,,,
AFDC Benefit for 2-Person family,R,AFDC/TANF Maximum Monthly Benefit for 2-person family.,,,Data unavailable after 2005,N/A,,,,
AFDC Benefit for 3-person family,S,AFDC/TANF Maximum Monthly Benefit for 3-person family.,,,Figures represent maximum monthly state TANF benefit levels for family of 3 with zero income.   ,2006,,,,
AFDC benefit for 4-person family,T,AFDC/TANF Maximum Monthly Benefit for 4-person family.,,,Data unavailable after 2005,N/A,,,,
FS Benefit for 1-person family,U,Food Stamp Benefit for 1-person family.,"Food Stamp Benefit Levels.  U.S. Department of Agriculture Via Employment Support Institute - School of Business, Virginia Commonwealth University. ",http://anfdata.urban.org/wrd/maps.cfm,,2007,,,,
FS Benefit for 2-person family,V,Food Stamp Benefit for 2-person family.,"Food Stamp Benefit Levels.  U.S. Department of Agriculture Via Employment Support Institute - School of Business, Virginia Commonwealth University. ",http://www.fns.usda.gov/snap/government/cola.htm  ,,2007,,,,
FS Benefit for 3-person family,W,Food Stamp Benefit for 3-person family.,"Food Stamp Benefit Levels.  U.S. Department of Agriculture Via Employment Support Institute - School of Business, Virginia Commonwealth University. ",http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,2007,,,,
FS Benefit for 4-person family,X,Food Stamp Benefit for 4-person family.,"Food Stamp Benefit Levels.  U.S. Department of Agriculture Via Employment Support Institute - School of Business, Virginia Commonwealth University. ",http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,2007,,,,
AFDC_FS 2-Person Benefit,Y,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 2-person family.",,,Data on AFDC/TANF average monthly benefit levels unavailable after 2005,N/A ,,,,
AFDC_FS 3-Person Benefit,Z,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 3-person family.",,,Data on AFDC/TANF average monthly benefit levels unavailable after 2006,2006,,,,
AFDC_FS 4-Person Benefit,AA,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 4-person family.",,,Data on AFDC/TANF average montly benefit levels unavailable after 2005,N/A,,,,
SSI-Federal,AB,Monthly Federal SSI benefits for individuals living independently.,"SSI Federal Monthly Payment Amounts.  Social Security Administration.  Office of Research, Evaluation, and Statistics.    ",http://www.ssa.gov/OACT/COLA/SSIamts.html,,2007,,,,
SSI-State,AC,State SSI supplements for individuals living independently.,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2008/index.html#toc ,,2007,,,,
Total SSI,AD,Maximum amount payable to an SSI recipient in combined Federal and State supplementary payments.,,,This value combines federal and state SSI benefit payments.,2007,,,,
SSI_FS Benefit,AE,Combined monthly maximum potential SSI and food stamp benefits for aged individuals living independently.,,,This value combines total SSI benefits and 1-person food stamp benefits.,2007,,,,
Number of Poor (thousands),AF,Number of poor (thousands).,"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.","http://www.census.gov/hhes/www/poverty/histpov/perindex.html, table 21",,2007,,,,
Poverty Rate,AG,Poverty rate (percent).,"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.","http://www.census.gov/hhes/www/poverty/histpov/perindex.html, table 21",,2007,,,,
Governor is Democrat (1=Yes),AH,Political party affiliation of Governor (1=Democrat),"The Council of State Governments, The National Governors' Association, and Elections Research Center.",http://www.nga.org/Files/pdf/BIOBOOK.pdf,,2007,,,,
Number in Lower House Democrat,AI,Number of Democrats in State Lower House (body consisting of State Representatives).,The Council of State Governments.,http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,2007,,,,
Number in Upper House Democrat,AJ,Number of Republicans in State Lower House (body consisting of State Representatives).,The Council of State Governments.,http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,2007,,,,
