Variable Name,Column,Description,Source ,Website for Source ,Additional Notes,Years updated 
Population,D,Population Estimates,"Annual Estimations of the Population for the United States, Regions, States, and Puerto Rico. U.S. Cesus Bureau-Population Estimates                                                                                                   ",http://www.census.gov/popest/states/NST-ann-est.html,,"2007, 2008"
Employment,E,Employment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,Employment Measured in levels,"2007, 2008"
Unemployment,F,Unemployment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,Unemployment measured in levels,"2007, 2008"
Unemployment rate,G,Unemployment Rate,"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,Measured as percentage of labor force,"2007, 2008"
Food Insecurity Rates,H,Food Insecurity Rates,"Household Food Security in the United States.  U.S. Department of Agriculture, Economic Research Service.","http://www.ers.usda.gov/Publications/ERR49/ERR49.pdf
http://www.ers.usda.gov/publications/err11/err11.pdf
http://www.ers.usda.gov/Publications/ERR29/ERR29.pdf","Year figures represent middle year of three-year average, 2008 data not available",2006
Gross State Product,I,Gross State Product,"State Economic Growth.  U.S. Department of Commerce, Bureau of Economic Analysis", http://www.bea.gov/regional/gsp/,Gross State Product now called Gross Domestic product.  Figures measured in millions of dollars.,"2006, 2007, 2008"
Number of Low Income Uninsured children,J,Number of Low Income Uninsured Children ,"Number of Low Income Uninsured Children by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/lowinckid.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,"2006, 2007"
Percent Low income uninsured children,K,Percent of Low Income Uninsured Children ,"Number of Low Income Uninsured Children by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/lowinckid.html,Year figures represent middle year of three-year averages.  ,"2006, 2007"
Personal Income,L,Personal Income (thousands of dollars),"State Annual Personal Income.  U.S. Department of Commerce, Bureau of Economic Analysis.",Use table SA1-3 Summary Personal Income at http://www.bea.gov/regional/spi/default.cfm?satable=SA35,"Totals aggregated by state, 2008 not yet available",2007
Worker's Compensation,M,Worker's Compensation (thousands of dollars).,Workers Compensation,Use table SA35 at http://www.bea.gov/regional/spi/default.cfm?satable=SA35  ,2008 values not available yet,2007
