Variable Name,Column,Description,Source ,Website for Source ,Additional Notes,Years updated ,,,,,,,,,
Population,D,Population Estimates,"Annual Estimations of the Population for the United States, Regions, States, and Puerto Rico. U.S. Cesus Bureau-Population Estimates                                                                                                   ",http://www.census.gov/popest/data/state/totals/2012/index.html,Population Measured in levels ,2009-2013,,,,,,,,,
Employment,E,Employment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Employment Measured in levels; 2007-2010 data did not match past data, updated with most recent estimates.",2009-2013,,,,,,,,,
Unemployment,F,Unemployment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Unemployment measured in levels; 2007-2010 data did not match past data, updated with most recent estimates.",2009-2013,,,,,,,,,
Unemployment rate,G,Unemployment Rate,"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Measured as percentage of labor force;  2007-2010 data did not match past data, updated with most recent estimates.",2009-2013,,,,,,,,,
Marginally Food Insecure,H,"Marginal Food Insecurity (individual level,  3-year moving average)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Marginally food insecure if household answers ""yes"" to 1 or more questions from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2012,,,,,,,,,
Food Insecure,I,"Food Insecurity (individual level,  3-year moving average)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Food insecure if household answers ""yes"" to 3 or more questions,  from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2012,,,,,,,,,
Very Low Food Secure,J,"Very Low Food Security  (individual level,  3-year moving agerage)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Very low food secure if household with children answers ""yes"" to 8 more questions , or household without children answers ""yes"" to more than 6 questions from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2012,,,,,,,,,
Gross State Product,K,Gross State Product,"State Economic Growth.  U.S. Department of Commerce, Bureau of Economic Analysis",http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1#reqid=70&step=1&isuri=1,"Variable is denoted Gross Domestic Product, by State (all industry total).  Figures measured in millions of current dollars.  1997-2010 data updated to reflect most recent estimates.",1997-2013,,,,,,,,,
Number of Low Income Uninsured children,L,Number of Low Income Uninsured Children ,"Number of Low Income Uninsured Children under 19 by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/data/children/uninsured_low-income.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,2011,,,,,,,,,
Percent Low income uninsured children,M,Percent of Low Income Uninsured Children ,"Number of Low Income Uninsured Children under 19 by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/data/children/uninsured_low-income.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,2011,,,,,,,,,
Personal Income,N,Personal Income (thousands of dollars),"State Annual Personal Income.  U.S. Department of Commerce, Bureau of Economic Analysis.",http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=4,Totals aggregated by state.  Use table SA1-3 Summary Personal Income.  2008-2010 data updated to reflect most recent estimates.,2000-2013,,,,,,,,,
Worker's Compensation,O,Worker's Compensation (thousands of dollars).,Workers Compensation,http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=4,See table SA35.  2009-2010 data updated to reflect most recent estimates.,2004-2012,,,,,,,,,
