Variable Name,Column,Description,Source ,Website for Source ,Additional Notes,Years updated ,,,,,,,,,
Population,D,Population Estimates,"Annual Estimations of the Population for the United States, Regions, States, and Puerto Rico. U.S. Cesus Bureau-Population Estimates                                                                                                   ",http://www.census.gov/popest/data/state/totals/2012/index.html,Population Measured in levels ,2010-2012,,,,,,,,,
Employment,E,Employment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Employment Measured in levels; 2007-2010 data did not match past data, updated with most recent estimates.",2007-2012,,,,,,,,,
Unemployment,F,Unemployment Estimates (Levels),"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Unemployment measured in levels; 2007-2010 data did not match past data, updated with most recent estimates.",2007-2012,,,,,,,,,
Unemployment rate,G,Unemployment Rate,"Employment Status of the Civilian Noninstitutional Population, 1976-2007.  Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS) program.",http://www.bls.gov/lau/staadata.txt,"Measured as percentage of labor force;  2007-2010 data did not match past data, updated with most recent estimates.",2007-2012,,,,,,,,,
Food Insecurity Rates,H,Household-level Food Insecurity Rates (3 year average),"Household Food Security in the United States.  U.S. Department of Agriculture, Economic Research Service.",http://www.ers.usda.gov/Briefing/FoodSecurity/stats_graphs.htm#food_secure,"Year figures represent middle year of three-year average, 2012 data not yet available.  See State-Level Prevalence of Food Insecurity.",2010,,,,,,,,,
Marginally Food Insecure,I,"Marginal Food Insecurity (individual level,  3-year moving average)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Marginally food insecure if household answers ""yes"" to 1 or more questions from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2001-2011,,,,,,,,,
Food Insecure,J,"Food Insecurity (individual level,  3-year moving average)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Food insecure if household answers ""yes"" to 3 or more questions,  from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2001-2011,,,,,,,,,
Very Low Food Secure,K,"Very Low Food Security  (individual level,  3-year moving agerage)","Current Population Survey, December Supplement",Rates were generated using NBER December CPS Supplement Files,"Very low food secure if household with children answers ""yes"" to 8 more questions , or household without children answers ""yes"" to more than 6 questions from the Core Food Security Model, Current Population Survey.  Figures are 3-year moving averages.",2001-2011,,,,,,,,,
Gross State Product,L,Gross State Product,"State Economic Growth.  U.S. Department of Commerce, Bureau of Economic Analysis",http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1#reqid=70&step=1&isuri=1,"Variable is denoted Gross Domestic Product, by State (all industry total).  Figures measured in millions of current dollars.  1997-2010 data updated to reflect most recent estimates.",1997-2011,,,,,,,,,
Number of Low Income Uninsured children,M,Number of Low Income Uninsured Children ,"Number of Low Income Uninsured Children under 19 by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/data/children/uninsured_low-income.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,2010,,,,,,,,,
Percent Low income uninsured children,N,Percent of Low Income Uninsured Children ,"Number of Low Income Uninsured Children under 19 by State (at or below 200% of Poverty).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/hlthins/data/children/uninsured_low-income.html,Poverty figures are three-year averages (in thousands).  Year figures represent middle year of three-year averages.,2010,,,,,,,,,
Personal Income,O,Personal Income (thousands of dollars),"State Annual Personal Income.  U.S. Department of Commerce, Bureau of Economic Analysis.",http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=4,Totals aggregated by state.  Use table SA1-3 Summary Personal Income.  2008-2010 data updated to reflect most recent estimates.,2008-2012,,,,,,,,,
Worker's Compensation,P,Worker's Compensation (thousands of dollars).,Workers Compensation,http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=4,See table SA35.  2009-2010 data updated to reflect most recent estimates.,2009-2011,,,,,,,,,
AFDC/TANF Recipients,Q,Total number of participants of Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC),"Total number of recipients of Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/resource/2011-07-tanssp-0,Number of recipients: Monthly average from fiscal year,2011,,,,,,,,,
AFDC/TANF Caseloads,R,Total number of participants of Aid to Families with Dependent Children/Temporary Assistance to Needy Families (AFDC),"Total number of families receiving Aid to Families with Dependent Children/Temporary Assistance to Needy Families.  U.S. Department of Health and Human Services, Administration for Children and Families.  ",http://www.acf.hhs.gov/programs/ofa/resource/2011-07-tanssp-0,Number of caseloads (families): Monthly average from fiscal year,2011,,,,,,,,,
Food Stamp/SNAP Recipients,S,Food Stamp Program: Average Monthly Participation ,"Food Stamp Program: Average Monthly Participation by Number of Persons. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,Figures represent total number of persons receiving benefts: Monthly average from fiscal year,2011,,,,,,,,,
Food Stamp/SNAP Caseloads,T,Food Stamp Program: Average Monthly Participation .,"Food Stamp Program: Average Monthly Participation by Number of Households. U.S. Department of Agriculture, Food and Nutrition Service.    ",http://www.fns.usda.gov/pd/snapmain.htm,Figures represent total number of caseloads (families) receiving benefts: Monthly average from fiscal year,2011,,,,,,,,,
AFDC/TANF Benefit for 2-person family,U,AFDC/TANF Maximum Monthly Benefit for 2-person family.,"Congressional Research Service (CRS) with data from the Urban Institute's ""Welfare Rules Database.""",https://www.fas.org/sgp/crs/misc/RL32760.pdf,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database values for the monthly benefit for a family of 3 found at fas.org do not match those from Table L5 in the WRD.  When this occurs, we calculate the growth rate for 3-person family monthly benefits derived from 2010's Table L5 to 2011's Table L5. This growth rate is then applied to 2- and 4-person families.",2011,,,,,,,,,
AFDC/TANF Benefit for 3-person family,V,AFDC/TANF Maximum Monthly Benefit for 3-person family.,"Urban Institute Welfare Rules Database: TANF Maximum Monthly Benefit for 3-person family.
",http://anfdata.urban.org/wrd/WRDWelcome.cfm,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database dollar amount values do not match those from Table L5 in the WRD.  When this occurs, we apply a growth rate between the database value and the corresponding amount for the previous year's L5 table for 3-person families.  This growth rate is then applied to 2- and 4-person families.  ",2011,,,,,,,,,
AFDC/TANF Benefit for 4-person family,W,AFDC/TANF Maximum Monthly Benefit for 4-person family.,"Congressional Research Service (CRS) with data from the Urban Institute's ""Welfare Rules Database.""",https://www.fas.org/sgp/crs/misc/RL32760.pdf,"2006 to 2010 state TANF benefit data come from the Urban Institute Welfare Rules Database.  In few instances, database values for the monthly benefit for a family of 3 found at fas.org do not match those from Table L5 in the WRD.  When this occurs, we calculate the growth rate for 3-person family monthly benefits derived from 2010's Table L5 to 2011's Table L5. This growth rate is then applied to 2- and 4-person families.",2011,,,,,,,,,
Food Stamp/SNAP Benefit for 1-person family,X,Food Stamp Benefit for 1-person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See Maximum Allotments and Deductions"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2013,,,,,,,,,
Food Stamp/SNAP Benefit for 2-person family,Y,Food Stamp Benefit for 2-person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2013,,,,,,,,,
Food Stamp/SNAP Benefit for 3 -person family,Z,Food Stamp Benefit for 3 -person family,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2013,,,,,,,,,
Food Stamp/SNAP Benefit for 4-person family ,AA,Food Stamp Benefit for 4-person family ,"Supplemental Nutrition Assistance Program, Cost of Living Adjustment Information.  Food and Nutrition Service, US Department of Agriculture.",http://www.fns.usda.gov/snap/government/cola.htm  ,"See ""Maximum Monthly Allotment"" used Pre-recovery values for 2009; Alaska and Hawaii on separate chart.  Used Urban measurement for Alaska.",2012-2013,,,,,,,,,
AFDC/TANF_FS 2-Person Benefit,AB,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 2-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 2-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2011,,,,,,,,,
AFDC/TANF_FS 3-Person Benefit,AC,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 3-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 3-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2011,,,,,,,,,
AFDC/TANF_FS 4-Person Benefit,AD,"Combined monthly maximum potential AFDC/TANF and food stamp benefits, 4-person family.","Combined monthly maximum potential AFDC/TANF and food stamp benefits, 4-person family.
",Formula adding AFDC/TANF and food stamp benefits,No changes in formula applied to 2011,2011,,,,,,,,,
Child-only AFDC/TANF cases,AE,Child-only AFDC/TANF cases,Child-only AFDC/TANF cases,http://www.acf.hhs.gov/programs/ofa/data-reports/caseload/caseload_current.htm,Average no-parent families during fiscal year,2011,,,,,,,,,
SSI-Federal,AF,Monthly Federal SSI benefits for individuals living independently,"SSI Federal Monthly Payment Amounts.  Social Security Administration.  Office of Research, Evaluation, and Statistics.    ",http://www.ssa.gov/OACT/COLA/SSIamts.html,,2013,,,,,,,,,
SSI-State,AG,State SSI supplements for individuals living independently,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.socialsecurity.gov/policy/docs/progdesc/ssi_st_asst/,"Update expected on socialsecurity.gov in November 2013. 2009 Payment levels are for January 2009 under ""state supplementation living independently"" category.  Illinois supplementation based on individual assessment.  Massachusetts, Nevada provide variety of state supplements based on type of SSI qualification.",not updated,,,,,,,,,
Total  SSI,AH,Maximum amount payable to an SSI recipient in combined Federal and State supplementary payments,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2008/index.html#toc,This value combines federal and state SSI benefit payments.  ,not updated,,,,,,,,,
SSI_FS Benefit,AI,combined montlhy maximum potential SSI and food stamp benefits for aged individuals living independently,"State Assistance Programs for SSI Recipients (January 2007) - Optional State Supplementation Payment Levels.  Social Security Administration, Office of Policy & Office of Research, Evaluation, and Statistics. ",http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2008/index.html#toc,This value combines total SSI benefits and 1-person food stamp benefits. 2008 not updated.,not updated,,,,,,,,,
Number of poor (thousands),AJ,number of poor (thousands),"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/poverty/data/historical/people.html,,2011,,,,,,,,,
Poverty rate,AK,poverty rate (percent),"Historical Poverty Tables (Table 21).  U.S. Census Bureau, Housing and Household Economic Statistics Division.",http://www.census.gov/hhes/www/poverty/data/historical/people.html,,2011,,,,,,,,,
Governor is Democrat (1=Yes),AL,political party affiliation of Governor (1=Democrat),The Council of State Governments; National Governors Association,http://knowledgecenter.csg.org/drupal/view-content-type/1219 http://www.nga.org/cms/governors/bios,"2012: Chapter 4, Table 4.1.; 2013 data taken from National Governors Association webpage; Democrat = 1 (RI has Independent governor in 2012-13)",2012-2013,,,,,,,,,
Number in Lower House Democrat,AM,Number of Democrats in State in Lower house (body consisting of State representatives,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2012,,,,,,,,,
Number in lower House Republican,AN,Number of Republicans in State in Lower house (body consisting of State representatives,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2012,,,,,,,,,
Fraction of State House That is Democrat,AO,Fraction of State Lower House that is Democrat,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2012,,,,,,,,,
Number in Upper House Democrat,AP,Number of Democrats in State in Upper house (body consisting of State Senators,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3.  CSG lists a District of Columbia Upper House; see table 3.1 and note (a) for clarification that it is more accurately a city council.  ",2012,,,,,,,,,
Number in Upper House Republican,AQ,Number of Republicans In State Upper House (body consisting of Senators,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3.  CSG lists a District of Columbia Upper House; see table 3.1 and note (a) for clarification that it is more accurately a city council.  ",2012,,,,,,,,,
Fraction of State Senate that is Democrat,AR,Fraction of State Upper House (state Senators) that is Democrat,The Council of State Governments,http://knowledgecenter.csg.org/drupal/view-content-type/1219,"Chapter 3, Table 3.3",2012,,,,,,,,,
EITC Phase-In Rate No Dependents,AS,"Earned Income Tax Credit Phase-In Rate, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase-In Rate 1 Dependent,AT,"EITC Phase-In rate, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase-In Rate 2 Dependents,AU,"EITC Phase-In rate, 2 Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Phase Maximum Credit No Dependents,AV,"EITC Maximum  Credit, No Dependents","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
EITC Maximum Credit 1 Dependent,AW,"EITC Maximum  Credit, 1 Dependent","Earned Income Tax Credit Parameters, 1975-2011, Joint Committee on Taxation.",http://www.taxpolicycenter.org/taxfacts/displayafact.cfm?DocID=36&Topic2id=40&Topic3id=42,,2012-2013,,,,,,,,,
