Column D,Updated 2006 with data from www.census.gov,,,
Column E,Updated 2006 with figures as of May 2007 from the BLS/LAUS website,,,
Column F,Updated from 2006 with figures as of May 2007 from the BLS/LAUS website,,,
Column G,Updated from 2006 with figures as of May 2007 from the BLS/LAUS website,,,
Column H,Updated with 2003-2005 averages as of May 2007 from ERS website,,,
Column I,"Updated 2005 figures, not available for 2006 as of May 2007 website http://www.bea.gov/bea/regional/gsp/",,,
Column J,Updated 2004 numbers using 2003-2005 data from http://www.census.gov/hhes/www/hlthins/liuc05.html; 2004-2006 data not available as of May 2007,,,
Column K,Updated 2004 numbers using 2003-2005 data from http://www.census.gov/hhes/www/hlthins/liuc05.html; 2004-2006 data not available as of May 2007,,,
Column L,Updated 2005-2006 with data from www.bea.gov,,,
Column M,Updated 2004-2005 with data from http://www.bea.gov/regional/spi/default.cfm?satable=SA35; data not available for 2006 as of May 2007),,,
Column N,Updated 2006 as of May 2007 with Fiscal Year Data from http://www.acf.hhs.gov/programs/ofa/caseload/caseloadindex.htm,,,
Column O,Updated 2006 as of May 2007 with Fiscal Year Data from http://www.acf.hhs.gov/programs/ofa/caseload/caseloadindex.htm,,,
Column P,Updated 2006 as of May 2007 with data from http://www.fns.usda.gov/pd/fssummar.htm,,,
Column Q,Updated 2006 as of May 2007 with data from http://www.fns.usda.gov/pd/fssummar.htm,,,
Column R,Updated 2005 with data from http://www.nationalaglawcenter.org/assets/crs/RL32760.pdf reached through http://www.opencrs.com/; 2006 data not available as of May 2007),,,
Column S,Updated 2005 with data from http://www.nationalaglawcenter.org/assets/crs/RL32760.pdf reached through http://www.opencrs.com/; 2006 data not available as of May 2007),,,
Column T,Updated 2005 with data from http://www.nationalaglawcenter.org/assets/crs/RL32760.pdf reached through http://www.opencrs.com/; 2006 data not available as of May 2007),,,
Column U,Updated 2006 with data from www.usda.gov and 2006 Alaska and Hawaii from http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,,
Column V,Updated 2006 with data from www.usda.gov and 2006 Alaska and Hawaii from http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,,
Column W,Updated 2006 with data from www.usda.gov and 2006 Alaska and Hawaii from http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,,
Column X,Updated 2006 with data from www.usda.gov and 2006 Alaska and Hawaii from http://www.workworld.org/wwwebhelp/food_stamp_benefit_levels.htm,,,
Column Y,Copied formula from 2005,,,
Column Z,Copied formula from 2005,,,
Column AA,Copied formula from 2005,,,
Column AB,Updated 2005-2006 with data from http://www.ssa.gov/OACT/COLA/SSIamts.html,,,
Column AC,Updated 2005 with data from http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2005/ssi_st_asst05.pdf; Updated 2006 with data from http://www.ssa.gov/policy/docs/progdesc/ssi_st_asst/2006/ssi_st_asst06.pdf,,,
Column AD,Updated 2005-2006 by adding AB and AC,,,
Column AE,Updated 2005-2006 by copying the formula from 2004,,,
Column AF,Updated 2005 with data as of May 2007 from http://www.census.gov/hhes/www/poverty/microdata.html; data not available for 2006 as of May 2007,,,
Column AG,Updated 2005 with data available as of May 2007 from http://www.census.gov/hhes/www/poverty/detailedpovtabs.html; data not available for 2006 as of May 2007,,,
Column AH,Updated 2006 with data from the Book of States and from www.nga.org,,,
Column AI,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AJ,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AK,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AL,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AM,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AN,Updated 2006 with data from http://www.ncsl.org/programs/legismgt/about/legislator_overview.htm,,,
Column AO,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AP,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AQ,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AR,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AS,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AT,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AU,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AV,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AW,Updated 2006 with info from http://www.taxpolicycenter.org/TaxFacts/tfdb/TFTemplate.cfm,,,
Column AX,Updated 2005-2007 with data from http://www.taxpolicycenter.org/TaxFacts/TFDB/TFTemplate.cfm?Docid=293,,,
Column AY,Updated 2005-2007 with data from http://www.taxpolicycenter.org/TaxFacts/TFDB/TFTemplate.cfm?Docid=293,,,
Column AZ,Updated 2005-2007 with data from http://www.taxpolicycenter.org/TaxFacts/TFDB/TFTemplate.cfm?Docid=293,,,
Column BA,Updated 2005-2007 with data from http://www.taxpolicycenter.org/TaxFacts/TFDB/TFTemplate.cfm?Docid=293,,,
Column BB,Updated 2006 with copied data from 2005,,,
Column BC,Updated 2006 with info from http://www.dol.gov/esa/minwage/america.htm,,,
Column BD,Updated 2006 with FY data from http://www.acf.hhs.gov//programs/ofa/caseload/caseloadindex.htm#2002,,,
Column BE,Updated 2005 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2005/index.html; 2006 data not available as of May 2007,,,
Column BF,Updated 2005 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2005/index.html; 2006 data not available as of May 2007,,,
Column BG,Updated 2005 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2005/index.html; 2006 data not available as of May 2007,,,
Column BH,Updated 2005 with data from http://www.socialsecurity.gov/policy/docs/factsheets/cong_stats/2005/index.html; 2006 data not available as of May 2007,,,
Column BI,Updated 2004 with data from http://www.cms.hhs.gov/MedicaidDataSourcesGenInfo/Downloads/mmcer04.pdf; Updated 2005 with data from http://www.cms.hhs.gov/MedicaidDataSourcesGenInfo/Downloads/mmcer05.pdf; 2006 data not available as of May 2007,,,
Column BJ,Updated 2006 with data from http://www.fns.usda.gov/pd/26wifypart.htm,,,
Column BK,Requested data from USDA,,,
Column BL,Requested data from USDA,,,
Column BM,Updated 2006 with data from http://www.fns.usda.gov/pd/01slfypart.htm,,,
Column BN,Requested data from USDA,,,
Column BO,Requested data from USDA,,,
Column BP,Updated 2006 with data from http://www.fns.usda.gov/pd/08sbfypart.htm,,,
