"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"1","Aruba","ABW",-0.585808960625712,NA,98737,NA,NA,NA,12,2.56494935746154,11.5002150285277,22567.82492,10.0242804947645
"2","Afghanistan","AFG",-3.36111089279191,0.0117875054347387,24118979,NA,NA,0.7693,NA,NA,16.9985095989107,219.1413528,5.38971696818079
"3","Angola","AGO",6.98676177236732,44.3121441174808,18865716,21.6738663,-2,0.7867,11.5,2.52572864430826,16.7528568645432,1041.086844,6.94802048876654
"4","Albania","ALB",6.15227448678199,0.488093256954193,3026939,17.64535942,7,0.2204,5,1.79175946922805,14.9230624358352,2416.588235,7.79011200417119
"5","Andorra","AND",3.32467350857601,NA,76244,NA,NA,0.7139,NA,NA,11.241694002849,38503.47961,10.5585038956724
"6","United Arab Emirates","ARE",0.292826708319538,17.9783387308115,4087931,NA,NA,NA,NA,NA,15.223549532054,36161.17061,10.4957411870463
"7","Argentina","ARG",7.84910614558494,3.47170510064211,38728696,13.1007799,8,0.255,NA,NA,17.4720913819337,4251.574348,8.35504462814795
"8","Armenia","ARM",11.100840751846,0,3000612,13.99640565,5,0.1272,1.9,1.06471073699243,14.9143268258272,1191.96192,7.08335590080628
"9","American Samoa","ASM",0.288979993982736,NA,59264,NA,NA,NA,NA,NA,10.9897573180059,8639.308855,9.06407786496418
"10","Antigua and Barbuda","ATG",4.58153852437155,NA,88257,17.20666011,NA,0.1643,3.6,1.52605630349505,11.3880082917632,10419.31113,9.25141620275729
"11","Australia","AUS",2.945228428833,0.711107155027003,20127400,24.30473,10,0.0929,1.3,0.832909122935104,16.817592628817,30472.37977,10.3245759709976
"12","Austria","AUT",2.07051571964911,0.045007774322959,8171966,26.30867249,10,0.1068,0.7,0.53062825106217,15.9162200743628,36821.52147,10.5138377757693
"13","Azerbaijan","AZE",9.23948995119869,26.8088921769981,8306500,NA,-7,0.2047,2.2,1.16315080980568,15.9325488988087,1045.02163,6.95179286274929
"14","Burundi","BDI",1.48628492141015,NA,7182451,NA,5,0.2951,NA,NA,15.7871512476752,127.4296648,4.84756456375694
