"","X","name","GEOID","year.x","parent.location","population","poverty.rate","pct.renter.occupied","median.gross.rent","median.household.income","median.property.value","rent.burden","pct.white","pct.af.am","pct.hispanic","pct.am.ind","pct.asian","pct.nh.pi","pct.multiple","pct.other","renter.occupied.households","eviction.filings","evictions","eviction.rate","eviction.filing.rate","imputed","subbed","Composite.Bottom.Order","Composite.Index","Composite.Score","Composite.Top.Order","Civil.Legal.Aid","Disabilities","LEP","Limited.English","Median.Income.2012","Number.of.Attorneys.Per.10.000.People","Number.of.Civil.Legal.Aid.Attorneys.Per.10.000.People.In.Poverty","Number.of.Records","Percent.of.People.with.Disabilities","Population","Region","Self.Represented","State.Abb","Weight","year.y","median.household.income.1000s","LCivil.Legal.Aid","State","Year","State Spending","Local Spending","State and Local Spending","Gross State Product","Real State Growth %","Population (million)"
"1",1,"Alabama",1,2014,"USA",4830620,14.46,31.34,717,43623,125500,30.5,66.35,26.29,4.01,0.46,1.22,0.03,1.53,0.12,599224,22778,10104,1.69,3.8,0,0,17,44.06,176.23,35,6.12,78.14,25.5,58.18,43.464,30.16,0.62,1,16.5,4687363,"South",33.79,"AL",1,2014,43.623,-0.478035800943,"Alabama",2014,208.5,100.9,309.4,40165.8,-0.1,4.8
"2",44,"Alaska",2,2014,"USA",733375,6.98,36.62,1146,72515,250000,28.2,62.38,3.24,6.52,13.42,5.78,1.17,7.36,0.13,101701,1981,NA,NA,1.95,0,0,20,46.28,185.11,32,24.09,68.77,9.9,38.19,63.648,34.21,2.44,1,10.6,706860,"West",54.06,"AK",1,2014,72.515,0.89199803930511,"Alaska",2014,1218.4,260.4,1478.8,79085.6,-3.3,0.7
"3",86,"Arizona",4,2014,"USA",6641928,13.29,37.24,913,50255,167500,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,203620,7808,6375,3.13,3.83,0,0,27,52.72,210.89,25,5.73,68.78,18.8,48.55,47.044,22.84,0.58,1,11.6,6336449,"West",87.83,"AZ",0,2014,50.255,-0.544727175441672,"Arizona",2014,299.4,83.6,383,41868.7,1.8,6.7
"4",132,"Arkansas",5,2014,"USA",2958208,14.25,33.89,677,41371,111400,29.5,73.6,15.44,6.87,0.56,1.35,0.23,1.86,0.09,407733,1883,NA,NA,0.46,0,0,11,39.81,159.24,41,7.9,62.51,22.2,68.55,39.018,20.75,0.8,1,16.6,2856663,"South",20.28,"AR",1,2014,41.371,-0.22314355131421,"Arkansas",2014,360.3,61.6,421.8,39774,1.4,3
"5",175,"California",6,2014,"USA",38421464,12.18,45.67,1255,61818,385500,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,4915846,65454,55626,1.13,1.33,0,0,21,47.7,190.81,31,9.48,53.15,25,37.64,57.02,43.26,0.96,1,10.1,36941931,"West",90.54,"CA",0,2014,61.818,-0.0408219945202552,"California",2014,504.8,614.9,1119.7,60704.4,3.7,38.7
"6",263,"Colorado",8,2014,"USA",5278906,8.49,35.67,1002,60629,247800,30.6,69.07,3.85,21.08,0.54,2.84,0.13,2.31,0.18,305473,12708,6728,2.2,4.16,0,0,44,65.56,262.25,8,5.53,100,19.9,94.55,57.255,41.52,0.56,1,10.2,5002128,"West",62.17,"CO",1,2014,60.629,-0.579818495252942,"Colorado",2014,284.7,286.7,571.4,57149.2,4.7,5.3
"7",306,"Connecticut",9,2014,"USA",3593222,7.55,33,1075,70331,270500,31.7,69.22,9.63,14.65,0.14,4.16,0.02,1.89,0.29,370379,15349,11655,3.15,4.14,0,0,50,73.37,293.48,2,18.26,100,19.4,98.19,64.247,60.03,1.85,1,10.7,3471802,"Northeast",77.03,"CT",1,2014,70.331,0.615185639090233,"Connecticut",2014,686.5,280,966.5,67992,-0.6,3.6
"8",351,"Delaware",10,2014,"USA",926454,8.19,28.83,1018,60509,231500,29.9,63.89,21.05,8.71,0.27,3.6,0.02,2.22,0.23,103380,18279,5613,5.43,17.68,0,0,46,66.67,266.67,6,14.71,62.51,17.9,98.91,48.972,32.33,1.49,1,12.1,882353,"South",90.54,"DE",1,2014,60.509,0.398776119957368,"Delaware",2014,602.1,76.8,679,70483.1,5.3,0.9
"9",394,"District of Columbia",11,2014,"USA",647484,14.33,58.76,1327,70848,475800,29.5,35.6,47.98,10.16,0.2,3.63,0.03,2.12,0.28,168298,NA,NA,NA,NA,0,0,51,80.94,323.75,1,87.07,68.77,11.3,97.64,65.246,877.05,8.82,1,10.9,584583,"South",70.27,"DC",5,2014,70.848,2.1770218700187,"District of Columbia",2014,NA,2350.1,2350.1,176013.2,1.5,0.7
"10",446,"Florida",12,2014,"USA",19645772,12.04,34.73,1002,47507,159000,34.4,56.06,15.45,23.72,0.21,2.54,0.05,1.7,0.26,2581408,120818,64121,2.48,4.68,0,0,7,38.09,152.37,45,8.59,37.52,23.8,45.45,46.071,35.68,0.87,1,12.9,18652057,"South",60.81,"FL",10,2014,47.507,-0.139262067333508,"Florida",2014,201.4,164.3,365.7,41831,2.6,19.9
